council,year,type,process,tonnage
Clackmannanshire,2012,Animal and mixed food waste,Disposed by incineration,0
Clackmannanshire,2012,Animal and mixed food waste,Landfilled,0
Clackmannanshire,2012,Batteries and accumulators wastes,Generated,3
Clackmannanshire,2012,Batteries and accumulators wastes,Prepared for reuse,0
Clackmannanshire,2012,Batteries and accumulators wastes,Recycled,3
Clackmannanshire,2012,Batteries and accumulators wastes,Organics recycled,0
Clackmannanshire,2012,Batteries and accumulators wastes,Recovered by incineration,0
Clackmannanshire,2012,Batteries and accumulators wastes,Recovered by co-incineration,0
Clackmannanshire,2012,Batteries and accumulators wastes,Managed by other methods,0
Clackmannanshire,2012,Batteries and accumulators wastes,Disposed by incineration,0
Clackmannanshire,2012,Batteries and accumulators wastes,Landfilled,0
Clackmannanshire,2012,Chemical wastes,Generated,3
Clackmannanshire,2012,Chemical wastes,Prepared for reuse,3
Clackmannanshire,2012,Chemical wastes,Recycled,0
Clackmannanshire,2012,Chemical wastes,Organics recycled,0
Clackmannanshire,2012,Chemical wastes,Recovered by incineration,0
Clackmannanshire,2012,Chemical wastes,Recovered by co-incineration,0
Clackmannanshire,2012,Chemical wastes,Managed by other methods,0
Clackmannanshire,2012,Chemical wastes,Disposed by incineration,0
Clackmannanshire,2012,Chemical wastes,Landfilled,0
Clackmannanshire,2012,Combustion wastes,Generated,0
Clackmannanshire,2012,Combustion wastes,Prepared for reuse,0
Clackmannanshire,2012,Combustion wastes,Recycled,0
Clackmannanshire,2012,Combustion wastes,Organics recycled,0
Clackmannanshire,2012,Combustion wastes,Recovered by incineration,0
Clackmannanshire,2012,Combustion wastes,Recovered by co-incineration,0
Clackmannanshire,2012,Combustion wastes,Managed by other methods,0
Clackmannanshire,2012,Combustion wastes,Disposed by incineration,0
Clackmannanshire,2012,Combustion wastes,Landfilled,0
Clackmannanshire,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Generated,512.48
Clackmannanshire,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Prepared for reuse,0
Clackmannanshire,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,512.48
Clackmannanshire,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Organics recycled,0
Clackmannanshire,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recovered by incineration,0
Clackmannanshire,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recovered by co-incineration,0
Clackmannanshire,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Managed by other methods,0
Clackmannanshire,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Disposed by incineration,0
Clackmannanshire,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Clackmannanshire,2012,Discarded vehicles,Generated,17
Clackmannanshire,2012,Discarded vehicles,Prepared for reuse,17
Clackmannanshire,2012,Discarded vehicles,Recycled,0
Clackmannanshire,2012,Discarded vehicles,Organics recycled,0
Clackmannanshire,2012,Discarded vehicles,Recovered by incineration,0
Clackmannanshire,2012,Discarded vehicles,Recovered by co-incineration,0
Clackmannanshire,2012,Discarded vehicles,Managed by other methods,0
Clackmannanshire,2012,Discarded vehicles,Disposed by incineration,0
Clackmannanshire,2012,Discarded vehicles,Landfilled,0
Clackmannanshire,2012,Glass wastes,Generated,1362
Clackmannanshire,2012,Glass wastes,Prepared for reuse,0
Clackmannanshire,2012,Glass wastes,Recycled,1362
Clackmannanshire,2012,Glass wastes,Organics recycled,0
Clackmannanshire,2012,Glass wastes,Recovered by incineration,0
Clackmannanshire,2012,Glass wastes,Recovered by co-incineration,0
Clackmannanshire,2012,Glass wastes,Managed by other methods,0
Clackmannanshire,2012,Glass wastes,Disposed by incineration,0
Clackmannanshire,2012,Glass wastes,Landfilled,0
Clackmannanshire,2012,Health care and biological wastes,Generated,0
Clackmannanshire,2012,Health care and biological wastes,Prepared for reuse,0
Clackmannanshire,2012,Health care and biological wastes,Recycled,0
Clackmannanshire,2012,Health care and biological wastes,Organics recycled,0
Clackmannanshire,2012,Health care and biological wastes,Recovered by incineration,0
Clackmannanshire,2012,Health care and biological wastes,Recovered by co-incineration,0
Clackmannanshire,2012,Health care and biological wastes,Managed by other methods,0
Clackmannanshire,2012,Health care and biological wastes,Disposed by incineration,0
Clackmannanshire,2012,Health care and biological wastes,Landfilled,0
Clackmannanshire,2012,Household and similar wastes,Generated,14284.74
Clackmannanshire,2012,Household and similar wastes,Prepared for reuse,7.5
Clackmannanshire,2012,Household and similar wastes,Recycled,0
Clackmannanshire,2012,Household and similar wastes,Organics recycled,0
Clackmannanshire,2012,Household and similar wastes,Recovered by incineration,0
Clackmannanshire,2012,Household and similar wastes,Recovered by co-incineration,0
Clackmannanshire,2012,Household and similar wastes,Managed by other methods,0
Clackmannanshire,2012,Household and similar wastes,Disposed by incineration,1442.8
Clackmannanshire,2012,Household and similar wastes,Landfilled,9911.84
Clackmannanshire,2012,"Metallic wastes, ferrous",Generated,0
Clackmannanshire,2012,"Metallic wastes, ferrous",Prepared for reuse,0
Clackmannanshire,2012,"Metallic wastes, ferrous",Recycled,145.26
Clackmannanshire,2012,"Metallic wastes, ferrous",Organics recycled,0
Clackmannanshire,2012,"Metallic wastes, ferrous",Recovered by incineration,0
Clackmannanshire,2012,"Metallic wastes, ferrous",Recovered by co-incineration,0
Clackmannanshire,2012,"Metallic wastes, ferrous",Managed by other methods,0
Clackmannanshire,2012,"Metallic wastes, ferrous",Disposed by incineration,0
Clackmannanshire,2012,"Metallic wastes, ferrous",Landfilled,0
Clackmannanshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",Generated,405.2
Clackmannanshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",Prepared for reuse,0
Clackmannanshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",Recycled,727.55
Clackmannanshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",Organics recycled,0
Clackmannanshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",Recovered by incineration,0
Clackmannanshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",Recovered by co-incineration,0
Clackmannanshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",Managed by other methods,0
Clackmannanshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",Disposed by incineration,0
Clackmannanshire,2012,"Metallic wastes, mixed ferrous and non-ferrous",Landfilled,0
Clackmannanshire,2012,"Metallic wastes, non-ferrous",Generated,0
Clackmannanshire,2012,"Metallic wastes, non-ferrous",Prepared for reuse,0
Clackmannanshire,2012,"Metallic wastes, non-ferrous",Recycled,29.48
Clackmannanshire,2012,"Metallic wastes, non-ferrous",Organics recycled,0
Clackmannanshire,2012,"Metallic wastes, non-ferrous",Recovered by incineration,0
Clackmannanshire,2012,"Metallic wastes, non-ferrous",Recovered by co-incineration,0
Clackmannanshire,2012,"Metallic wastes, non-ferrous",Managed by other methods,0
Clackmannanshire,2012,"Metallic wastes, non-ferrous",Disposed by incineration,0
Clackmannanshire,2012,"Metallic wastes, non-ferrous",Landfilled,0
Clackmannanshire,2012,Mineral waste from construction and demolition,Generated,1418
Clackmannanshire,2012,Mineral waste from construction and demolition,Prepared for reuse,0
Clackmannanshire,2012,Mineral waste from construction and demolition,Recycled,1698.92
Clackmannanshire,2012,Mineral waste from construction and demolition,Organics recycled,0
Clackmannanshire,2012,Mineral waste from construction and demolition,Recovered by incineration,0
Clackmannanshire,2012,Mineral waste from construction and demolition,Recovered by co-incineration,0
Clackmannanshire,2012,Mineral waste from construction and demolition,Managed by other methods,0
Clackmannanshire,2012,Mineral waste from construction and demolition,Disposed by incineration,0
Clackmannanshire,2012,Mineral waste from construction and demolition,Landfilled,0
Clackmannanshire,2012,Mixed and undifferentiated materials,Generated,1933
Clackmannanshire,2012,Mixed and undifferentiated materials,Prepared for reuse,0
Clackmannanshire,2012,Mixed and undifferentiated materials,Recycled,69.79
Clackmannanshire,2012,Mixed and undifferentiated materials,Organics recycled,0
Clackmannanshire,2012,Mixed and undifferentiated materials,Recovered by incineration,0
Clackmannanshire,2012,Mixed and undifferentiated materials,Recovered by co-incineration,0
Clackmannanshire,2012,Mixed and undifferentiated materials,Managed by other methods,0
Clackmannanshire,2012,Mixed and undifferentiated materials,Disposed by incineration,0
Clackmannanshire,2012,Mixed and undifferentiated materials,Landfilled,0
Clackmannanshire,2012,Paper and cardboard wastes,Generated,291
Clackmannanshire,2012,Paper and cardboard wastes,Prepared for reuse,0
Clackmannanshire,2012,Paper and cardboard wastes,Recycled,3378.21
Clackmannanshire,2012,Paper and cardboard wastes,Organics recycled,0
Clackmannanshire,2012,Paper and cardboard wastes,Recovered by incineration,0
Clackmannanshire,2012,Paper and cardboard wastes,Recovered by co-incineration,0
Clackmannanshire,2012,Paper and cardboard wastes,Managed by other methods,0
Clackmannanshire,2012,Paper and cardboard wastes,Disposed by incineration,0
Clackmannanshire,2012,Paper and cardboard wastes,Landfilled,0
Clackmannanshire,2012,Plastic wastes,Generated,0
Clackmannanshire,2012,Plastic wastes,Prepared for reuse,0
Clackmannanshire,2012,Plastic wastes,Recycled,694.36
Clackmannanshire,2012,Plastic wastes,Organics recycled,0
Clackmannanshire,2012,Plastic wastes,Recovered by incineration,0
Clackmannanshire,2012,Plastic wastes,Recovered by co-incineration,0
Clackmannanshire,2012,Plastic wastes,Managed by other methods,0
Clackmannanshire,2012,Plastic wastes,Disposed by incineration,0
Clackmannanshire,2012,Plastic wastes,Landfilled,0
Clackmannanshire,2012,Rubber wastes,Generated,16.37
Clackmannanshire,2012,Rubber wastes,Prepared for reuse,0
Clackmannanshire,2012,Rubber wastes,Recycled,16.37
Clackmannanshire,2012,Rubber wastes,Organics recycled,0
Clackmannanshire,2012,Rubber wastes,Recovered by incineration,0
Clackmannanshire,2012,Rubber wastes,Recovered by co-incineration,0
Clackmannanshire,2012,Rubber wastes,Managed by other methods,0
Clackmannanshire,2012,Rubber wastes,Disposed by incineration,0
Clackmannanshire,2012,Rubber wastes,Landfilled,0
Clackmannanshire,2012,Soils,Generated,1033
Clackmannanshire,2012,Soils,Prepared for reuse,0
Clackmannanshire,2012,Soils,Recycled,1077.62
Clackmannanshire,2012,Soils,Organics recycled,0
Clackmannanshire,2012,Soils,Recovered by incineration,0
Clackmannanshire,2012,Soils,Recovered by co-incineration,0
Clackmannanshire,2012,Soils,Managed by other methods,0
Clackmannanshire,2012,Soils,Disposed by incineration,0
Clackmannanshire,2012,Soils,Landfilled,0
Clackmannanshire,2012,Textile wastes,Generated,320
Clackmannanshire,2012,Textile wastes,Prepared for reuse,0
Clackmannanshire,2012,Textile wastes,Recycled,324.51
Clackmannanshire,2012,Textile wastes,Organics recycled,0
Clackmannanshire,2012,Textile wastes,Recovered by incineration,0
Clackmannanshire,2012,Textile wastes,Recovered by co-incineration,0
Clackmannanshire,2012,Textile wastes,Managed by other methods,0
Clackmannanshire,2012,Textile wastes,Disposed by incineration,0
Clackmannanshire,2012,Textile wastes,Landfilled,0
Clackmannanshire,2012,Used oils,Generated,5.4
Clackmannanshire,2012,Used oils,Prepared for reuse,0
Clackmannanshire,2012,Used oils,Recycled,5.4
Clackmannanshire,2012,Used oils,Organics recycled,0
Clackmannanshire,2012,Used oils,Recovered by incineration,0
Clackmannanshire,2012,Used oils,Recovered by co-incineration,0
Clackmannanshire,2012,Used oils,Managed by other methods,0
Clackmannanshire,2012,Used oils,Disposed by incineration,0
Clackmannanshire,2012,Used oils,Landfilled,0
Clackmannanshire,2012,Vegetal wastes,Generated,4209.24
Clackmannanshire,2012,Vegetal wastes,Prepared for reuse,0
Clackmannanshire,2012,Vegetal wastes,Recycled,0
Clackmannanshire,2012,Vegetal wastes,Organics recycled,4153.48
Clackmannanshire,2012,Vegetal wastes,Recovered by incineration,0
Clackmannanshire,2012,Vegetal wastes,Recovered by co-incineration,0
Clackmannanshire,2012,Vegetal wastes,Managed by other methods,0
Clackmannanshire,2012,Vegetal wastes,Disposed by incineration,0
Clackmannanshire,2012,Vegetal wastes,Landfilled,32.76
Clackmannanshire,2012,Wood wastes,Generated,1923
Clackmannanshire,2012,Wood wastes,Prepared for reuse,0
Clackmannanshire,2012,Wood wastes,Recycled,2121.92
Clackmannanshire,2012,Wood wastes,Organics recycled,0
Clackmannanshire,2012,Wood wastes,Recovered by incineration,0
Clackmannanshire,2012,Wood wastes,Recovered by co-incineration,0
Clackmannanshire,2012,Wood wastes,Managed by other methods,0
Clackmannanshire,2012,Wood wastes,Disposed by incineration,0
Clackmannanshire,2012,Wood wastes,Landfilled,0
Clackmannanshire,2012,Subtotal,Generated,27736.43
Clackmannanshire,2012,Subtotal,Prepared for reuse,27.5
Clackmannanshire,2012,Subtotal,Recycled,12166.87
Clackmannanshire,2012,Subtotal,Organics recycled,4153.48
Clackmannanshire,2012,Subtotal,Recovered by incineration,0
Clackmannanshire,2012,Subtotal,Recovered by co-incineration,0
Clackmannanshire,2012,Subtotal,Managed by other methods,0
Clackmannanshire,2012,Subtotal,Disposed by incineration,1442.8
Clackmannanshire,2012,Subtotal,Landfilled,9944.6
Clackmannanshire,2013,Animal and mixed food waste,Generated,1188
Clackmannanshire,2013,Animal and mixed food waste,Prepared for reuse,
Clackmannanshire,2013,Animal and mixed food waste,Recycled,
Clackmannanshire,2013,Animal and mixed food waste,Organics recycled,1128.6
Clackmannanshire,2013,Animal and mixed food waste,Recovered by incineration,
Clackmannanshire,2013,Animal and mixed food waste,Recovered by co-incineration,
Clackmannanshire,2013,Animal and mixed food waste,Managed by other methods,
Clackmannanshire,2013,Animal and mixed food waste,Disposed by incineration,
Clackmannanshire,2013,Animal and mixed food waste,Landfilled,59.4
Clackmannanshire,2013,Batteries and accumulators wastes,Generated,6.46
Clackmannanshire,2013,Batteries and accumulators wastes,Prepared for reuse,
Clackmannanshire,2013,Batteries and accumulators wastes,Recycled,6.46
Clackmannanshire,2013,Batteries and accumulators wastes,Organics recycled,
Clackmannanshire,2013,Batteries and accumulators wastes,Recovered by incineration,
Clackmannanshire,2013,Batteries and accumulators wastes,Recovered by co-incineration,
Clackmannanshire,2013,Batteries and accumulators wastes,Managed by other methods,
Clackmannanshire,2013,Batteries and accumulators wastes,Disposed by incineration,
Clackmannanshire,2013,Batteries and accumulators wastes,Landfilled,
Clackmannanshire,2013,Chemical wastes,Generated,2.26
Clackmannanshire,2013,Chemical wastes,Prepared for reuse,2.26
Clackmannanshire,2013,Chemical wastes,Recycled,
Clackmannanshire,2013,Chemical wastes,Organics recycled,
Clackmannanshire,2013,Chemical wastes,Recovered by incineration,
Clackmannanshire,2013,Chemical wastes,Recovered by co-incineration,
Clackmannanshire,2013,Chemical wastes,Managed by other methods,
Clackmannanshire,2013,Chemical wastes,Disposed by incineration,
Clackmannanshire,2013,Chemical wastes,Landfilled,
Clackmannanshire,2013,Combustion wastes,Generated,0
Clackmannanshire,2013,Combustion wastes,Prepared for reuse,
Clackmannanshire,2013,Combustion wastes,Recycled,
Clackmannanshire,2013,Combustion wastes,Organics recycled,
Clackmannanshire,2013,Combustion wastes,Recovered by incineration,
Clackmannanshire,2013,Combustion wastes,Recovered by co-incineration,
Clackmannanshire,2013,Combustion wastes,Managed by other methods,693.6
Clackmannanshire,2013,Combustion wastes,Disposed by incineration,
Clackmannanshire,2013,Combustion wastes,Landfilled,
Clackmannanshire,2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Generated,532.96
Clackmannanshire,2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Prepared for reuse,
Clackmannanshire,2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,532.96
Clackmannanshire,2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Organics recycled,
Clackmannanshire,2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recovered by incineration,
Clackmannanshire,2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recovered by co-incineration,
Clackmannanshire,2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Managed by other methods,
Clackmannanshire,2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Disposed by incineration,
Clackmannanshire,2013,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,
Clackmannanshire,2013,Discarded vehicles,Generated,18.5
Clackmannanshire,2013,Discarded vehicles,Prepared for reuse,18.5
Clackmannanshire,2013,Discarded vehicles,Recycled,
Clackmannanshire,2013,Discarded vehicles,Organics recycled,
Clackmannanshire,2013,Discarded vehicles,Recovered by incineration,
Clackmannanshire,2013,Discarded vehicles,Recovered by co-incineration,
Clackmannanshire,2013,Discarded vehicles,Managed by other methods,
Clackmannanshire,2013,Discarded vehicles,Disposed by incineration,
Clackmannanshire,2013,Discarded vehicles,Landfilled,
Clackmannanshire,2013,Glass wastes,Generated,1378.1
Clackmannanshire,2013,Glass wastes,Prepared for reuse,
Clackmannanshire,2013,Glass wastes,Recycled,1378.1
Clackmannanshire,2013,Glass wastes,Organics recycled,
Clackmannanshire,2013,Glass wastes,Recovered by incineration,
Clackmannanshire,2013,Glass wastes,Recovered by co-incineration,
Clackmannanshire,2013,Glass wastes,Managed by other methods,
Clackmannanshire,2013,Glass wastes,Disposed by incineration,
Clackmannanshire,2013,Glass wastes,Landfilled,
Clackmannanshire,2013,Health care and biological wastes,Generated,
Clackmannanshire,2013,Health care and biological wastes,Prepared for reuse,
Clackmannanshire,2013,Health care and biological wastes,Recycled,
Clackmannanshire,2013,Health care and biological wastes,Organics recycled,
Clackmannanshire,2013,Health care and biological wastes,Recovered by incineration,
Clackmannanshire,2013,Health care and biological wastes,Recovered by co-incineration,
Clackmannanshire,2013,Health care and biological wastes,Managed by other methods,
Clackmannanshire,2013,Health care and biological wastes,Disposed by incineration,
Clackmannanshire,2013,Health care and biological wastes,Landfilled,
Clackmannanshire,2013,Household and similar wastes,Generated,11245.4
Clackmannanshire,2013,Household and similar wastes,Prepared for reuse,0
Clackmannanshire,2013,Household and similar wastes,Recycled,0
Clackmannanshire,2013,Household and similar wastes,Organics recycled,0
Clackmannanshire,2013,Household and similar wastes,Recovered by incineration,661.39
Clackmannanshire,2013,Household and similar wastes,Recovered by co-incineration,0
Clackmannanshire,2013,Household and similar wastes,Managed by other methods,
Clackmannanshire,2013,Household and similar wastes,Disposed by incineration,
Clackmannanshire,2013,Household and similar wastes,Landfilled,8536.31
Clackmannanshire,2013,"Metallic wastes, ferrous",Generated,0
Clackmannanshire,2013,"Metallic wastes, ferrous",Prepared for reuse,
Clackmannanshire,2013,"Metallic wastes, ferrous",Recycled,129.78
Clackmannanshire,2013,"Metallic wastes, ferrous",Organics recycled,
Clackmannanshire,2013,"Metallic wastes, ferrous",Recovered by incineration,
Clackmannanshire,2013,"Metallic wastes, ferrous",Recovered by co-incineration,
Clackmannanshire,2013,"Metallic wastes, ferrous",Managed by other methods,
Clackmannanshire,2013,"Metallic wastes, ferrous",Disposed by incineration,
Clackmannanshire,2013,"Metallic wastes, ferrous",Landfilled,
Clackmannanshire,2013,"Metallic wastes, mixed ferrous and non-ferrous",Generated,427
Clackmannanshire,2013,"Metallic wastes, mixed ferrous and non-ferrous",Prepared for reuse,
Clackmannanshire,2013,"Metallic wastes, mixed ferrous and non-ferrous",Recycled,664.02
Clackmannanshire,2013,"Metallic wastes, mixed ferrous and non-ferrous",Organics recycled,
Clackmannanshire,2013,"Metallic wastes, mixed ferrous and non-ferrous",Recovered by incineration,
Clackmannanshire,2013,"Metallic wastes, mixed ferrous and non-ferrous",Recovered by co-incineration,
Clackmannanshire,2013,"Metallic wastes, mixed ferrous and non-ferrous",Managed by other methods,
Clackmannanshire,2013,"Metallic wastes, mixed ferrous and non-ferrous",Disposed by incineration,
Clackmannanshire,2013,"Metallic wastes, mixed ferrous and non-ferrous",Landfilled,
Clackmannanshire,2013,"Metallic wastes, non-ferrous",Generated,0
Clackmannanshire,2013,"Metallic wastes, non-ferrous",Prepared for reuse,
Clackmannanshire,2013,"Metallic wastes, non-ferrous",Recycled,27.32
Clackmannanshire,2013,"Metallic wastes, non-ferrous",Organics recycled,
Clackmannanshire,2013,"Metallic wastes, non-ferrous",Recovered by incineration,
Clackmannanshire,2013,"Metallic wastes, non-ferrous",Recovered by co-incineration,
Clackmannanshire,2013,"Metallic wastes, non-ferrous",Managed by other methods,
Clackmannanshire,2013,"Metallic wastes, non-ferrous",Disposed by incineration,
Clackmannanshire,2013,"Metallic wastes, non-ferrous",Landfilled,
Clackmannanshire,2013,Mineral waste from construction and demolition,Generated,1411
Clackmannanshire,2013,Mineral waste from construction and demolition,Prepared for reuse,
Clackmannanshire,2013,Mineral waste from construction and demolition,Recycled,1423.8
Clackmannanshire,2013,Mineral waste from construction and demolition,Organics recycled,
Clackmannanshire,2013,Mineral waste from construction and demolition,Recovered by incineration,
Clackmannanshire,2013,Mineral waste from construction and demolition,Recovered by co-incineration,
Clackmannanshire,2013,Mineral waste from construction and demolition,Managed by other methods,
Clackmannanshire,2013,Mineral waste from construction and demolition,Disposed by incineration,
Clackmannanshire,2013,Mineral waste from construction and demolition,Landfilled,
Clackmannanshire,2013,Mixed and undifferentiated materials,Generated,3868.16
Clackmannanshire,2013,Mixed and undifferentiated materials,Prepared for reuse,
Clackmannanshire,2013,Mixed and undifferentiated materials,Recycled,
Clackmannanshire,2013,Mixed and undifferentiated materials,Organics recycled,
Clackmannanshire,2013,Mixed and undifferentiated materials,Recovered by incineration,399.8
Clackmannanshire,2013,Mixed and undifferentiated materials,Recovered by co-incineration,
Clackmannanshire,2013,Mixed and undifferentiated materials,Managed by other methods,0
Clackmannanshire,2013,Mixed and undifferentiated materials,Disposed by incineration,0
Clackmannanshire,2013,Mixed and undifferentiated materials,Landfilled,367.87
Clackmannanshire,2013,Paper and cardboard wastes,Generated,196
Clackmannanshire,2013,Paper and cardboard wastes,Prepared for reuse,
Clackmannanshire,2013,Paper and cardboard wastes,Recycled,3337.42
Clackmannanshire,2013,Paper and cardboard wastes,Organics recycled,
Clackmannanshire,2013,Paper and cardboard wastes,Recovered by incineration,
Clackmannanshire,2013,Paper and cardboard wastes,Recovered by co-incineration,
Clackmannanshire,2013,Paper and cardboard wastes,Managed by other methods,
Clackmannanshire,2013,Paper and cardboard wastes,Disposed by incineration,
Clackmannanshire,2013,Paper and cardboard wastes,Landfilled,
Clackmannanshire,2013,Plastic wastes,Generated,0
Clackmannanshire,2013,Plastic wastes,Prepared for reuse,
Clackmannanshire,2013,Plastic wastes,Recycled,437.44
Clackmannanshire,2013,Plastic wastes,Organics recycled,
Clackmannanshire,2013,Plastic wastes,Recovered by incineration,
Clackmannanshire,2013,Plastic wastes,Recovered by co-incineration,
Clackmannanshire,2013,Plastic wastes,Managed by other methods,
Clackmannanshire,2013,Plastic wastes,Disposed by incineration,
Clackmannanshire,2013,Plastic wastes,Landfilled,
Clackmannanshire,2013,Rubber wastes,Generated,
Clackmannanshire,2013,Rubber wastes,Prepared for reuse,
Clackmannanshire,2013,Rubber wastes,Recycled,
Clackmannanshire,2013,Rubber wastes,Organics recycled,
Clackmannanshire,2013,Rubber wastes,Recovered by incineration,
Clackmannanshire,2013,Rubber wastes,Recovered by co-incineration,
Clackmannanshire,2013,Rubber wastes,Managed by other methods,
Clackmannanshire,2013,Rubber wastes,Disposed by incineration,
Clackmannanshire,2013,Rubber wastes,Landfilled,
Clackmannanshire,2013,Soils,Generated,700
Clackmannanshire,2013,Soils,Prepared for reuse,
Clackmannanshire,2013,Soils,Recycled,741.4
Clackmannanshire,2013,Soils,Organics recycled,
Clackmannanshire,2013,Soils,Recovered by incineration,
Clackmannanshire,2013,Soils,Recovered by co-incineration,
Clackmannanshire,2013,Soils,Managed by other methods,
Clackmannanshire,2013,Soils,Disposed by incineration,
Clackmannanshire,2013,Soils,Landfilled,
Clackmannanshire,2013,Textile wastes,Generated,372.5
Clackmannanshire,2013,Textile wastes,Prepared for reuse,
Clackmannanshire,2013,Textile wastes,Recycled,380.31
Clackmannanshire,2013,Textile wastes,Organics recycled,
Clackmannanshire,2013,Textile wastes,Recovered by incineration,
Clackmannanshire,2013,Textile wastes,Recovered by co-incineration,
Clackmannanshire,2013,Textile wastes,Managed by other methods,
Clackmannanshire,2013,Textile wastes,Disposed by incineration,
Clackmannanshire,2013,Textile wastes,Landfilled,
Clackmannanshire,2013,Used oils,Generated,1.39
Clackmannanshire,2013,Used oils,Prepared for reuse,
Clackmannanshire,2013,Used oils,Recycled,1.39
Clackmannanshire,2013,Used oils,Organics recycled,
Clackmannanshire,2013,Used oils,Recovered by incineration,
Clackmannanshire,2013,Used oils,Recovered by co-incineration,
Clackmannanshire,2013,Used oils,Managed by other methods,
Clackmannanshire,2013,Used oils,Disposed by incineration,
Clackmannanshire,2013,Used oils,Landfilled,
Clackmannanshire,2013,Vegetal wastes,Generated,3749
Clackmannanshire,2013,Vegetal wastes,Prepared for reuse,
Clackmannanshire,2013,Vegetal wastes,Recycled,
Clackmannanshire,2013,Vegetal wastes,Organics recycled,3718.5
Clackmannanshire,2013,Vegetal wastes,Recovered by incineration,
Clackmannanshire,2013,Vegetal wastes,Recovered by co-incineration,
Clackmannanshire,2013,Vegetal wastes,Managed by other methods,
Clackmannanshire,2013,Vegetal wastes,Disposed by incineration,
Clackmannanshire,2013,Vegetal wastes,Landfilled,30.5
Clackmannanshire,2013,Wood wastes,Generated,1720
Clackmannanshire,2013,Wood wastes,Prepared for reuse,
Clackmannanshire,2013,Wood wastes,Recycled,2115.57
Clackmannanshire,2013,Wood wastes,Organics recycled,
Clackmannanshire,2013,Wood wastes,Recovered by incineration,
Clackmannanshire,2013,Wood wastes,Recovered by co-incineration,
Clackmannanshire,2013,Wood wastes,Managed by other methods,
Clackmannanshire,2013,Wood wastes,Disposed by incineration,
Clackmannanshire,2013,Wood wastes,Landfilled,24.03
Clackmannanshire,2013,Subtotal,Generated,26816.73
Clackmannanshire,2013,Subtotal,Prepared for reuse,20.76
Clackmannanshire,2013,Subtotal,Recycled,11175.97
Clackmannanshire,2013,Subtotal,Organics recycled,4847.1
Clackmannanshire,2013,Subtotal,Recovered by incineration,1061.19
Clackmannanshire,2013,Subtotal,Recovered by co-incineration,0
Clackmannanshire,2013,Subtotal,Managed by other methods,693.6
Clackmannanshire,2013,Subtotal,Disposed by incineration,0
Clackmannanshire,2013,Subtotal,Landfilled,9018.11
Clackmannanshire,2014,Animal and mixed food waste,Generated,1350
Clackmannanshire,2014,Animal and mixed food waste,Prepared for reuse,
Clackmannanshire,2014,Animal and mixed food waste,Recycled,
Clackmannanshire,2014,Animal and mixed food waste,Organics recycled,1282.5
Clackmannanshire,2014,Animal and mixed food waste,Recovered by incineration,
Clackmannanshire,2014,Animal and mixed food waste,Recovered by co-incineration,
Clackmannanshire,2014,Animal and mixed food waste,Managed by other methods,
Clackmannanshire,2014,Animal and mixed food waste,Disposed by incineration,
Clackmannanshire,2014,Animal and mixed food waste,Landfilled,67.5
Clackmannanshire,2014,Batteries and accumulators wastes,Generated,12.45
Clackmannanshire,2014,Batteries and accumulators wastes,Prepared for reuse,
Clackmannanshire,2014,Batteries and accumulators wastes,Recycled,12.45
Clackmannanshire,2014,Batteries and accumulators wastes,Organics recycled,
Clackmannanshire,2014,Batteries and accumulators wastes,Recovered by incineration,
Clackmannanshire,2014,Batteries and accumulators wastes,Recovered by co-incineration,
Clackmannanshire,2014,Batteries and accumulators wastes,Managed by other methods,
Clackmannanshire,2014,Batteries and accumulators wastes,Disposed by incineration,
Clackmannanshire,2014,Batteries and accumulators wastes,Landfilled,
Clackmannanshire,2014,Chemical wastes,Generated,3.3
